search URL:,"https://patents.google.com/?q=polarized,polarization,polarisation,polarised&q=metrology,measurement,polarimetry&q=lithography,microlithography,lithographic,microlithographic&q=lens,optic&q=G03F7%2f70591&assignee=Asml+Netherlands+B.V.,Asml+Holding+N.V.,Carl+Zeiss+Smt+Gmbh,Carl+Zeiss+Smt+Ag,Nikon+Corp,Nikon+Corporation&country=US&num=100"
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
US7286245B2,Method and apparatus for determining the influencing of the state of polarization by an optical system; and an analyser ,Carl Zeiss Smt Ag,"Ulrich Wegmann, Michael Hartl, Markus Mengel, Manfred Dahl, Helmut Haidner, Martin Schriever, Michael Totzeck",2002-07-29,2003-07-29,2007-10-23,2007-10-23,https://patents.google.com/patent/US7286245B2/en
US20080043236A1,"Optical Property Measurement Apparatus and Optical Property Measurement Method, Exposure Apparatus and Exposure Method, and Device Manufacturing Method ",Nikon Corporation,"Koji Kaise, Toru Fujii, Yasushi Mizuno",2004-08-09,2005-08-09,2008-02-21,,https://patents.google.com/patent/US20080043236A1/en
US7277182B2,"Apparatus for polarization-specific examination, optical imaging system, and calibration method ",Carl Zeiss Smt Ag,"Ulrich Wegmann, Markus Mengel",2003-07-05,2004-07-06,2007-10-02,2007-10-02,https://patents.google.com/patent/US7277182B2/en
US6788389B2,Production method of projection optical system ,Nikon Corporation,"Youhei Fujishima, Hironori Ikezawa, Toshihiko Ozawa, Yasuhiro Omura, Takeshi Suzuki",2001-07-10,2002-07-10,2004-09-07,2004-09-07,https://patents.google.com/patent/US6788389B2/en
US6870668B2,Method for evaluating image formation performance ,Nikon Corporation,Toshihiko Ozawa,2000-10-10,2001-10-09,2005-03-22,2005-03-22,https://patents.google.com/patent/US6870668B2/en
US20060119838A1,Optical measuring apparatus and operating method for an optical imaging system ,Carl Zeiss Smt Ag,"Wolfgang Emer, Ulrich Wegmann, Martin Schriever, Rainer Hoch",2003-05-12,2005-11-14,2006-06-08,,https://patents.google.com/patent/US20060119838A1/en
US20050190376A1,Device and method for the determination of imaging errors and microlithography projection exposure system ,Carl Zeiss Smt Ag,"Ulrich Wegmann, Helmut Haidner, Gordon Doering",2004-01-21,2005-01-21,2005-09-01,,https://patents.google.com/patent/US20050190376A1/en
US7298498B2,"Optical property measuring apparatus and optical property measuring method, exposure apparatus and exposure method, and device manufacturing method ",Nikon Corporation,Akira Takahashi,2003-10-16,2006-04-14,2007-11-20,2007-11-20,https://patents.google.com/patent/US7298498B2/en
US20060001861A1,Measuring method and measuring system for measuring the imaging quality of an optical imaging system ,Carl Zeiss Smt Ag,Ulrich Wegmann,2002-12-19,2005-06-20,2006-01-05,,https://patents.google.com/patent/US20060001861A1/en
US20100020302A1,Projection exposure tool for microlithography with a measuring apparatus and method for measuring an irradiation strength distribution ,Carl Zeiss Smt Ag,Rolf Freimann,2007-01-23,2009-07-22,2010-01-28,,https://patents.google.com/patent/US20100020302A1/en
